storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Non-Hazardous",Takasago,Nat Fl Green Tea Type,PPLC-13-1131,7/1/2013,7/1/2014
"Gatorade Lab, Non-Hazardous",Takasago,Nat Spice Flavor Chai Type,PPLC-13-1433,10/22/2013,10/22/2014
"Gatorade Lab, Non-Hazardous",Takasago,Vivd (R) Natural Fl. Coffee Arabica Type,PPLC-13-1757,10/22/2013,10/22/2014
"Gatorade Lab, Non-Hazardous",Takasago,Nat Coffee Fl WONF,PPLC-13-1758,10/22/2013,10/22/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Mixed Berry Fl WONF,SL13-0406-4,6/4/2013,6/4/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Expresso Fl WONF,SL13-1406-2,6/14/2013,6/14/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Banana Fl WONF Cream Type,SL12-0911-5,6/13/2013,6/13/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Fl Cream Type,Sl13-0606-1,6/6/2013,6/6/2014
"Gatorade Lab, Non-Hazardous",Symrise,N&A Flavor Key Peanut Butter Type,2605091302,5/13/2013,5/13/2014
"Gatorade Lab, Non-Hazardous",Symrise,N&A Vanilla Fl Key,2605101301,5/13/2013,5/13/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Fl Dark Chocolate Type Key,2605131301,5/13/2013,5/13/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Blackberry Currant Fl WONF,SL13-0306-9,6/6/2013,6/6/2014
"Gatorade Lab, Non-Hazardous",Symrise,St. John's Bread SE (ex Pepsi),17,5/13/2013,5/13/2014
"Gatorade Lab, Non-Hazardous",Symrise,Natural Strawberry Fl WONF,6,6/13/2013,6/13/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Mango Fl,300014678,7/25/2013,7/25/2014
"Gatorade Lab, Non-Hazardous",Givaudan,TasteEssentials (TM) Nat Lemon Emulsion Fl,C3A0000340,4/26/2013,4/26/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Hazelnut Fl Type,SDU0104M01,6/3/2013,6/3/2014
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Peanut Butter Fl Type,TRH0418M06,6/3/2013,6/3/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Molasses Fl WONF,AMH0603L03,6/3/2013,6/3/2014
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Peanut Butter Fl Type,TRH0322M03,6/3/2013,6/3/2014
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Peanut Butter Flavor Type,TRH0425M06,4/25/2013,4/25/2014
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Cookies & Cream Fl Type,TRH0521M05,6/12/2013,6/12/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Apple,MMF0419M06,5/13/2013,5/13/2014
